id,project_id,statusid,fetchtime,creationtime,timezone,userscreenname,userid,username,userlocation,userlang,text,lang,retweet,inreplytostatusid,inreplytouserid,inreplytoscreenname,placeid,placename,placefullname,placetype,placeuri,placecountry,placecountrycode,placestreetaddress,placeboundingbox,placeboundingboxswlat,placeboundingboxswlon,placeboundingboxnelat,placeboundingboxnelon,placeboundingboxtype,point,lat,lon,mediaid,mediatext,mediaurihttp,mediaurihttps,mediatype,medianormaluri,mediadisplayuri,mediaexpandeduri,mediasizes,mediacontenttype,mediacontentlength,mediaextension,mediawidth,mediaheight
143613,helpdesk_dkijakarta,754380838989541376,2016-07-23 13:37:39.663-04,2016-07-16 14:23:02-04,,ichacao,124369760,Marieta Nurnissa,"Jakarta, Indonesia",en,Can't wait to try this! Senang sekali rasanya bisa mengetahui seluk beluk Ibukota. Terimakasih @DKIJakarta!😊 https://t.co/CO9XbKz9ow,id,f,,,,,,,,,,,,,,,,,,,,,754380823864807424,https://t.co/CO9XbKz9ow,http://pbs.twimg.com/media/CngZXMfUEAAEKm7.jpg,https://pbs.twimg.com/media/CngZXMfUEAAEKm7.jpg,photo,https://t.co/CO9XbKz9ow,pic.twitter.com/CO9XbKz9ow,http://twitter.com/ichacao/status/754380838989541376/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":526,""height"":680,""resize"":100},""2"":{""width"":600,""height"":776,""resize"":100},""3"":{""width"":600,""height"":776,""resize"":100}}",image/jpeg,73988,jpg,600,776
143612,helpdesk_dkijakarta,754475540921225216,2016-07-23 13:37:39.663-04,2016-07-16 20:39:21-04,,ullysulistyowk,176400956,Ully Sulistyo WK,"",en,RT @DKIJakarta: Bagaimana pembatasan lalu lintas ganjil-genap di Jakarta? Berikut penjelasannya https://t.co/G06J2mM3a5,id,t,,,,,,,,,,,,,,,,,,,,,753849403991920640,https://t.co/G06J2mM3a5,http://pbs.twimg.com/media/CnY2CfMUEAAYLmc.jpg,https://pbs.twimg.com/media/CnY2CfMUEAAYLmc.jpg,photo,https://t.co/G06J2mM3a5,pic.twitter.com/G06J2mM3a5,http://twitter.com/DKIJakarta/status/753922243336425472/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":489,""height"":680,""resize"":100},""2"":{""width"":661,""height"":919,""resize"":100},""3"":{""width"":661,""height"":919,""resize"":100}}",image/jpeg,180327,jpg,661,919
143611,helpdesk_dkijakarta,754480069003706368,2016-07-23 13:37:39.663-04,2016-07-16 20:57:20-04,,Birokrat3,2271123128,asep_JempolRakyat,"",en,Skrng u/ guru bantu swasta (GBS) yg diangkat CPNS dulu. Di @DKIJakarta th ini 1000-an yg diangkat CPNS https://t.co/fqIqkBLyOm,id,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143610,helpdesk_dkijakarta,754486907753476096,2016-07-23 13:37:39.663-04,2016-07-16 21:24:31-04,+07:00,girisudrajat,99907651,Giri Sudrajat,Jakarta,id,RT @DKIJakarta: Bagaimana pembatasan lalu lintas ganjil-genap di Jakarta? Berikut penjelasannya https://t.co/G06J2mM3a5,id,t,,,,,,,,,,,,,,,,,,,,,753849403991920640,https://t.co/G06J2mM3a5,http://pbs.twimg.com/media/CnY2CfMUEAAYLmc.jpg,https://pbs.twimg.com/media/CnY2CfMUEAAYLmc.jpg,photo,https://t.co/G06J2mM3a5,pic.twitter.com/G06J2mM3a5,http://twitter.com/DKIJakarta/status/753922243336425472/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":489,""height"":680,""resize"":100},""2"":{""width"":661,""height"":919,""resize"":100},""3"":{""width"":661,""height"":919,""resize"":100}}",image/jpeg,180327,jpg,661,919
143609,helpdesk_dkijakarta,754506681023885312,2016-07-23 13:37:39.663-04,2016-07-16 22:43:05-04,-07:00,sichacha31,60472679,Dwi Siti Aisyah,"ÜT: -6.198489,106.759882",en,"RT @infojakarta: Weekend ini yang belum punya acara, bisa loh datang ke Wisata Balai Kota DKI Jkt. GRATIS! #infojakarta @DKIJakarta https:/…",id,t,,,,,,,,,,,,,,,,,,,,,753971817283366913,https://t.co/UxGBKjjEwU,http://pbs.twimg.com/media/CnalX4PUsAEfj1Y.jpg,https://pbs.twimg.com/media/CnalX4PUsAEfj1Y.jpg,photo,https://t.co/UxGBKjjEwU,pic.twitter.com/UxGBKjjEwU,http://twitter.com/infojakarta/status/754144793454784512/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1200,""height"":675,""resize"":100},""3"":{""width"":1200,""height"":675,""resize"":100}}",image/jpeg,165706,jpg,1200,675
143608,helpdesk_dkijakarta,754508794651025408,2016-07-23 13:37:39.663-04,2016-07-16 22:51:29-04,,jayz_sujay,1307807767,Sujay,Indonesia,en,"RT @DKIJakarta: Jika melihat permasalahan di Jakarta, laporkan melalui kanal berikut https://t.co/1uarLeEqAT",id,t,,,,,,,,,,,,,,,,,,,,,752721953295699968,https://t.co/1uarLeEqAT,http://pbs.twimg.com/media/CnI0oODUEAARFLa.jpg,https://pbs.twimg.com/media/CnI0oODUEAARFLa.jpg,photo,https://t.co/1uarLeEqAT,pic.twitter.com/1uarLeEqAT,http://twitter.com/DKIJakarta/status/752721969875808256/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":383,""resize"":100},""2"":{""width"":1024,""height"":576,""resize"":100},""3"":{""width"":1024,""height"":576,""resize"":100}}",image/jpeg,53207,jpg,1024,576
143607,helpdesk_dkijakarta,754519761057439745,2016-07-23 13:37:39.663-04,2016-07-16 23:35:03-04,,IdSportourism,4857181814,Sportourism,Jakarta Capital Region,en,Pemprov @DKIJakarta  akan bekerjasama dengan Google untuk bangun aplikasi Pokemon Go di  tempat-tempat pariwisata https://t.co/G416LMLgAB,id,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143606,helpdesk_dkijakarta,754531374757838848,2016-07-23 13:37:39.663-04,2016-07-17 00:21:12-04,,rudi_tio,131437252,Kampanye LHKPN,"",id,https://t.co/WDYR6dm5J3 Ayo @basuki_btp & @JakmaniaOnTweet bantu @Persija_Jkt lbh prestasi @DKIJakarta @KEMENPORA_RI @jokowi @Kepolisian_RI,id,f,,,,0e960886390aa80d,Kramat Jati,"Kramat Jati, Indonesia",city,https://api.twitter.com/1.1/geo/id/0e960886390aa80d.json,Indonesia,ID,,0103000020E61000000100000005000000B1355B79C9B65A408C9DF0129C3A19C0E202D0285DB95A408C9DF0129C3A19C0E202D0285DB95A40B5A679C729FA18C0B1355B79C9B65A40B5A679C729FA18C0B1355B79C9B65A408C9DF0129C3A19C0,-6.307236,106.896311,-6.2443,106.856047,Polygon,,,,,,,,,,,,,,,,,
143605,helpdesk_dkijakarta,754536793135992832,2016-07-23 13:37:39.663-04,2016-07-17 00:42:44-04,,desahkalbu,3110551694,Petruk_e,"",id,"HALLO JAKARTA PUSAT,? yg di @DKIJakarta Mngapa Tawuran,, ??",id,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143604,helpdesk_dkijakarta,754542717376397312,2016-07-23 13:37:39.663-04,2016-07-17 01:06:17-04,+08:00,rahmadantiratih,168637622,Ratih Dwi Rahmadanti,"",en,RT @DKIJakarta: Kenapa Pemprov DKI membangun rusunawa hingga 20 ribu unit? Berikut penjelasannya https://t.co/vm5gWSJxor,id,t,,,,,,,,,,,,,,,,,,,,,752757991376465920,https://t.co/vm5gWSJxor,http://pbs.twimg.com/media/CnJVZ6XUsAABuY3.jpg,https://pbs.twimg.com/media/CnJVZ6XUsAABuY3.jpg,photo,https://t.co/vm5gWSJxor,pic.twitter.com/vm5gWSJxor,http://twitter.com/DKIJakarta/status/752758262382997504/photo/1,"{""0"":{""width"":150,""height"":150,""resize"":101},""1"":{""width"":680,""height"":481,""resize"":100},""2"":{""width"":1200,""height"":849,""resize"":100},""3"":{""width"":1240,""height"":877,""resize"":100}}",image/jpeg,269451,jpg,1240,877
